Tijd,Volume
38.20001,3.82001
38.30001,3.83001
38.40001,3.84001
38.50001,3.85001
38.60001,3.86001
38.70001,3.87001
38.80001,3.88001
38.90001,3.89001
39.00001,3.90001
39.10001,3.91001
39.20001,3.92001
39.30001,3.93001
39.40001,3.94001
39.50001,3.95001
39.60001,3.96001
39.70001,3.97001
39.80001,3.98001
39.90001,3.99001
40.00001,4.00001
40.10001,4.01001
40.20001,4.02001
40.30001,4.03001
40.40001,4.04001
40.50001,4.05001
40.60001,4.06001
40.70001,4.07001
40.80001,4.08001
40.90001,4.09001
41.00001,4.10001
41.10001,4.11001
41.20001,4.12001
41.30001,4.13001
41.40001,4.14001
41.50001,4.15001
41.60001,4.16001
41.70001,4.17001
41.80001,4.18001
41.90001,4.19001
42.00001,4.20001
42.10001,4.21001
42.20001,4.22001
42.30001,4.23001
42.40001,4.24001
42.50001,4.25001
42.60001,4.26001
42.70001,4.27001
42.80001,4.28001
42.90001,4.29001
43.00001,4.30001
43.10001,4.31001
43.20001,4.32001
43.30001,4.33001
43.40001,4.34001
43.50001,4.35001
43.60001,4.36001
43.70001,4.37001
43.80001,4.38001
43.90001,4.39001
44.00001,4.40001
44.10001,4.41001
44.20001,4.42001
44.30001,4.43001
44.40001,4.44001
44.50001,4.45001
44.60001,4.46001
44.70001,4.47
44.80001,4.48
44.90001,4.49
45.00001,4.5
45.10001,4.51
45.20001,4.52
45.30001,4.53
45.40001,4.54
45.50001,4.55
45.60001,4.56
45.70001,4.57
45.80001,4.58
45.90001,4.59
46.00001,4.6
46.10001,4.61
46.20001,4.62
46.30001,4.63
46.40001,4.64
46.50001,4.65
46.60001,4.66
46.70001,4.67
46.80001,4.68
46.90001,4.69
47.00001,4.7
47.10001,4.71
47.20001,4.72
47.30001,4.73
47.40001,4.74
47.50001,4.75
47.60001,4.76
47.70001,4.77
47.80001,4.78
47.90001,4.79
48.00001,4.8
48.10001,4.81
48.20001,4.82
48.30001,4.83
48.40001,4.84
48.50001,4.85
48.60001,4.86
48.70001,4.87
48.80001,4.88
48.90001,4.89
49.00001,4.9
49.10001,4.91
49.20001,4.92
49.30001,4.93
49.40001,4.94
49.50001,4.95
49.60001,4.96
49.70001,4.97
49.80001,4.98
49.90001,4.99
50.00001,5.0
50.10001,5.01
50.20001,5.02
50.30001,5.03
50.40001,5.04
50.50001,5.05
50.60001,5.06
50.70001,5.07
50.80001,5.08
50.90001,5.09
51.00001,5.1
51.10001,5.11
51.20001,5.12
51.30001,5.13
51.40001,5.14
51.50001,5.15
51.60001,5.16
51.70001,5.17
51.80001,5.18
51.90001,5.19
52.00001,5.2
52.10001,5.21
52.20001,5.22
52.30001,5.23
52.40001,5.24
52.50001,5.25
52.60001,5.26
52.70001,5.27
52.80001,5.28
52.90001,5.29
53.00001,5.3
53.10001,5.31
53.20001,5.32
53.30001,5.33
53.40001,5.34
53.50001,5.35
53.60001,5.36
53.70001,5.37
53.80001,5.38
53.90001,5.39
54.00001,5.4
54.10001,5.41
54.20001,5.42
54.30001,5.43
54.40001,5.44
54.50001,5.45
54.60001,5.46
54.70001,5.47
54.80001,5.48
54.90001,5.49
55.00001,5.5
55.10001,5.51
55.20001,5.52
55.30001,5.53
55.40001,5.54
55.50001,5.55
55.60001,5.56
55.70001,5.57
55.80001,5.58
55.90001,5.59
56.00001,5.6
56.10001,5.61
56.20001,5.62
56.30001,5.63
56.40001,5.64
56.50001,5.65
56.60001,5.66
56.70001,5.67
56.80001,5.68
56.90001,5.69
57.00001,5.7
57.10001,5.71
57.20001,5.72
57.30001,5.73
57.40001,5.74
57.50001,5.75
57.60001,5.76
57.70001,5.77
57.80001,5.78
57.90001,5.79
58.00001,5.8
58.10001,5.81
58.20001,5.82
58.30001,5.83
58.40001,5.84
58.50001,5.85
58.60001,5.86
58.70001,5.87
58.80001,5.88
58.90001,5.89
59.00001,5.9
59.10001,5.91
59.20001,5.92
59.30001,5.93
59.40001,5.94
59.50001,5.95
59.60001,5.96
59.70001,5.97
59.80001,5.98
59.90001,5.99
60.00001,6.0
60.10001,6.01
60.20001,6.02
60.30001,6.03
60.40001,6.04
60.50001,6.05
60.60001,6.06
60.70001,6.07
60.80001,6.08
60.90001,6.09
61.00001,6.1
61.10001,6.11
61.20001,6.12
61.30001,6.13
61.40001,6.14
61.50001,6.15
61.60001,6.16
61.70001,6.17
61.80001,6.18
61.90001,6.19
62.00001,6.2
62.10001,6.21
62.20001,6.22
62.30001,6.23
62.40001,6.24
62.50001,6.25
62.60001,6.26
62.70001,6.27
62.80001,6.28
62.90001,6.29
63.00001,6.3
63.10001,6.31
63.20001,6.32
63.30001,6.33
63.40001,6.34
63.50001,6.35
63.60001,6.36
63.70001,6.37
63.80001,6.38
63.90001,6.39
64.00001,6.4
64.10001,6.41
64.20001,6.42
64.30001,6.43
64.40001,6.44
64.50001,6.45
64.60001,6.46
64.70001,6.47
64.80001,6.48
64.90001,6.49
65.00001,6.5
65.10001,6.51
65.20001,6.52
65.30001,6.53
65.40001,6.54
65.50001,6.55
65.60001,6.56
65.70001,6.57
65.80001,6.58
65.90001,6.59
66.00001,6.6
66.10001,6.61
66.20001,6.62
66.30001,6.63
66.40001,6.64
66.50001,6.65
66.60001,6.66
66.70001,6.67
66.80001,6.68
66.90001,6.69
67.00001,6.7
67.10001,6.71
67.20001,6.72
67.30001,6.73
67.40001,6.74
67.50001,6.75
67.60001,6.76
67.70001,6.77
67.80001,6.78
67.90001,6.79
68.00001,6.8
68.10001,6.81
68.20001,6.82
68.30001,6.83
68.40001,6.84
68.50001,6.85
68.60001,6.86
68.70001,6.87
68.80001,6.88
68.90001,6.89
69.00001,6.9
69.10001,6.91
69.20001,6.92
69.30001,6.93
69.40001,6.94
69.50001,6.95
69.60001,6.96
69.70001,6.97
69.80001,6.98
69.90001,6.99
70.00001,7.0
70.10001,7.01
70.20001,7.02
70.30001,7.03
70.40001,7.04
70.50001,7.05
70.60001,7.06
70.70001,7.07
70.80001,7.08
70.90001,7.09
71.00001,7.1
71.10001,7.11
71.20001,7.12
71.30001,7.13
71.40001,7.14
71.50001,7.15
71.60001,7.16
71.70001,7.17
71.80001,7.18
71.90001,7.19
72.00001,7.2
72.10001,7.21
72.20001,7.22
72.30001,7.23
72.40001,7.24
72.50001,7.25
72.60001,7.26
72.70001,7.27
72.80001,7.28
72.90001,7.29
73.00001,7.3
73.10001,7.31
73.20001,7.32
73.30001,7.33
73.40001,7.34
73.50001,7.35
73.60001,7.36
73.70001,7.37
73.80001,7.38
73.90001,7.39
74.00001,7.4
74.10001,7.41
74.20001,7.42
74.30001,7.43
74.40001,7.44
74.50001,7.45
74.60001,7.46
74.70001,7.47
74.80001,7.48
74.90001,7.49
75.00001,7.5
75.10001,7.51
75.20001,7.52
75.30001,7.53
75.40001,7.54
75.50001,7.55
75.60001,7.56
75.70001,7.57
75.80001,7.58
75.90001,7.59
76.00001,7.6
76.10001,7.61
76.20001,7.62
76.30001,7.63
76.40001,7.64
76.50001,7.65
76.60001,7.66
76.70001,7.67
76.80001,7.68
76.90001,7.69
77.00001,7.7
77.10001,7.71
77.20001,7.72
77.30001,7.73
77.40001,7.74
77.50001,7.75
77.60001,7.76
77.70001,7.77
77.80001,7.78
77.90001,7.79
78.00001,7.8
78.10001,7.81
78.20001,7.82
78.30001,7.83
78.40001,7.84
78.50001,7.85
78.60001,7.86
78.70001,7.87
78.80001,7.88
78.90001,7.89
79.00001,7.9
79.10001,7.91
79.20001,7.92
79.30001,7.93
79.40001,7.94
79.50001,7.95
79.60001,7.96
79.70001,7.97
79.80001,7.98
79.90001,7.99
80.00001,8.0
80.10001,8.01
80.20001,8.02
80.30001,8.03
80.40001,8.04
80.50001,8.05
80.60001,8.06
80.70001,8.07
80.80001,8.08
80.90001,8.09
81.00001,8.1
81.10001,8.11
81.20001,8.12
81.30001,8.13
81.40001,8.14
81.50001,8.15
81.60001,8.16
81.70001,8.17
81.80001,8.18
81.90001,8.19
82.00001,8.2
82.10001,8.21
82.20001,8.22
82.30001,8.23
82.40001,8.24
82.50001,8.25
82.60001,8.26
82.70001,8.27
82.80001,8.28
82.90001,8.29
83.00001,8.3
83.10001,8.31
83.20001,8.32
83.30001,8.33
83.40001,8.34
83.50001,8.35
83.60001,8.36
83.70001,8.37
83.80001,8.38
83.90001,8.39
84.00001,8.4
84.10001,8.41
84.20001,8.42
84.30001,8.43
84.40001,8.44
84.50001,8.45
84.60001,8.46
84.70001,8.47
84.80001,8.48
84.90001,8.49
85.00001,8.5
85.10001,8.51
85.20001,8.52
85.30001,8.53
85.40001,8.54
85.50001,8.55
85.60001,8.56
85.70001,8.57
85.80001,8.58
85.90001,8.59
86.00001,8.6
86.10001,8.61
86.20001,8.62
86.30001,8.63
86.40001,8.64
86.50001,8.65
86.60001,8.66
86.70001,8.67
86.80001,8.68
86.90001,8.69
87.00001,8.7
87.10001,8.71
87.20001,8.72
87.30001,8.73
87.40001,8.74
87.50001,8.75
87.60001,8.76
87.70001,8.77
87.80001,8.78
87.90001,8.79
88.00001,8.8
88.10001,8.81
88.20001,8.82
88.30001,8.83
88.40001,8.84
88.50001,8.85
88.60001,8.86
88.70001,8.87
88.80001,8.88
88.90001,8.89
89.00001,8.9
89.10001,8.91
89.20001,8.92
89.30001,8.93
89.40001,8.94
89.50001,8.95
89.60001,8.96
89.70001,8.97
89.80001,8.98
89.90001,8.99
90.00001,9.0
90.10001,9.01
90.20001,9.02
90.30001,9.03
90.40001,9.04
90.50001,9.05
90.60001,9.06
90.70001,9.07
90.80001,9.08
90.90001,9.09
91.00001,9.1
91.10001,9.11
91.20001,9.12
91.30001,9.13
91.40001,9.14
91.50001,9.15
91.60001,9.16
91.70001,9.17
91.80001,9.18
91.90001,9.19
92.00001,9.2
92.10001,9.21
92.20001,9.22
92.30001,9.23
92.40001,9.24
92.50001,9.25
92.60001,9.26
92.70001,9.27
92.80001,9.28
92.90001,9.29
93.00001,9.3
93.10001,9.31
93.20001,9.32
93.30001,9.33
93.40001,9.34
93.50001,9.35
93.60001,9.36
93.70001,9.37
93.80001,9.38
93.90001,9.39
94.00001,9.4
94.10001,9.41
94.20001,9.42
94.30001,9.43
94.40001,9.44
94.50001,9.45
94.60001,9.46
94.70001,9.47
94.80001,9.48
94.90001,9.49
95.00001,9.5
95.10001,9.51
95.20001,9.52
95.30001,9.53
95.40001,9.54
95.50001,9.55
95.60001,9.56
95.70001,9.57
95.80001,9.58
95.90001,9.59
96.00001,9.6
96.10001,9.61
96.20001,9.62
96.30001,9.63
96.40001,9.64
96.50001,9.65
96.60001,9.66
96.70001,9.67
96.80001,9.68
96.90001,9.69
97.00001,9.7
97.10001,9.71
97.20001,9.72
97.30001,9.73
97.40001,9.74
97.50001,9.75
97.60001,9.76
97.70001,9.77
97.80001,9.78
97.90001,9.79
98.00001,9.8
98.10001,9.81
98.20001,9.82
98.30001,9.83
98.40001,9.84
98.50001,9.85
98.60001,9.86
98.70001,9.87
98.80001,9.88
98.90001,9.89
99.00001,9.9
99.10001,9.91
99.20001,9.92
99.30001,9.93
99.40001,9.94
99.50001,9.95
99.60001,9.96
99.70001,9.97
99.80001,9.98
99.90001,9.99
100.00001,10.0
